GEO_ID,S1901_C01_012E
1400000US06037270102,112131
1400000US06037270200,80563
1400000US06037270300,68709
1400000US06037271100,106618
1400000US06037271200,119836
1400000US06037271300,104231
1400000US06037271400,172500
1400000US06037271500,101897
1400000US06037271600,115456
1400000US06037271702,84515
1400000US06037271703,130559
1400000US06037271704,153750
1400000US06037271801,74506
1400000US06037271803,97629
1400000US06037271804,97434
1400000US06037271901,119561
1400000US06037271902,102510
1400000US06037272100,128125
1400000US06037272201,95446
1400000US06037272202,100189
1400000US06037272301,125618
1400000US06037272302,76498
1400000US06037273100,171005
1400000US06037273200,134067
1400000US06037273300,91875
1400000US06037273403,111364
1400000US06037273404,84449
1400000US06037273502,107162
1400000US06037273600,121875
1400000US06037273700,135766
1400000US06037273800,97155
1400000US06037273902,155281
1400000US06037274100,104643
1400000US06037274202,119728
1400000US06037275101,134519
1400000US06037275102,100286
1400000US06037275200,103846
1400000US06037275311,94403
1400000US06037275312,177963
1400000US06037275313,118257
1400000US06037275400,141780
1400000US06037275500,60750
1400000US06037275603,127727
1400000US06037275604,180246
1400000US06037275605,116024
1400000US06037276000,157366
1400000US06037276101,111085
1400000US06037276102,86250
1400000US06037276400,233009
1400000US06037276500,156853
1400000US06037276601,168011
1400000US06037276605,110714
1400000US06037276606,123341
1400000US06037276607,94491
1400000US06037276608,96685
1400000US06037277000,173750
1400000US06037277100,161875
1400000US06037277200,60719
1400000US06037277400,-
1400000US06037278001,96429
1400000US06037278102,172153
1400000US06037291110,46536
1400000US06037291120,73167
1400000US06037291130,85938
1400000US06037291210,65156
1400000US06037291220,75324
1400000US06037291300,100682
1400000US06037292001,51747
1400000US06037292002,114239
1400000US06037293203,81067
1400000US06037293204,108385
1400000US06037293205,58101
1400000US06037293206,74231
1400000US06037293301,103375
1400000US06037293302,107107
1400000US06037293304,63518
1400000US06037293306,116979
1400000US06037293307,64183
1400000US06037294110,86194
1400000US06037294120,75096
1400000US06037294200,76936
1400000US06037294301,99549
1400000US06037294302,86667
1400000US06037294410,69000
1400000US06037294421,64722
1400000US06037294510,63688
1400000US06037294520,56524
1400000US06037294610,77837
1400000US06037294620,78333
1400000US06037294701,37844
1400000US06037294810,52315
1400000US06037294820,33526
1400000US06037294830,64063
1400000US06037294900,38676
1400000US06037295103,120089
1400000US06037296210,62600
1400000US06037296220,42389
1400000US06037296300,82349
1400000US06037296401,114514
1400000US06037296402,137083
1400000US06037296500,69792
1400000US06037296600,47852
1400000US06037296901,62668
1400000US06037296902,63563
1400000US06037297001,178333
1400000US06037297002,107260
1400000US06037297110,51659
1400000US06037297120,74583
1400000US06037297201,67303
1400000US06037297202,87378
1400000US06037297300,108261
1400000US06037297400,126192
1400000US06037297501,160179
1400000US06037297502,98125
1400000US06037297601,94432
1400000US06037297602,89375
1400000US06037300100,166716
1400000US06037300200,140417
1400000US06037300301,130262
1400000US06037300400,130799
1400000US06037300501,106333
1400000US06037300503,59821
1400000US06037300601,98457
1400000US06037300602,127583
1400000US06037300701,138631
1400000US06037300702,146541
1400000US06037300800,113509
1400000US06037300901,160425
1400000US06037300902,154722
1400000US06037301000,118843
1400000US06037301100,84249
1400000US06037301203,81800
1400000US06037301204,65665
1400000US06037301205,108571
1400000US06037301206,83932
1400000US06037301300,191750
1400000US06037301400,126442
1400000US06037301501,118125
1400000US06037301502,71016
1400000US06037301601,40617
1400000US06037301602,77813
1400000US06037301701,100438
1400000US06037301702,81173
1400000US06037301801,67145
1400000US06037301802,84265
1400000US06037301901,82898
1400000US06037301902,97344
1400000US06037302002,56510
1400000US06037302003,61250
1400000US06037302004,59250
1400000US06037302102,110893
1400000US06037302103,58611
1400000US06037302104,81490
1400000US06037302201,35109
1400000US06037302202,48917
1400000US06037302301,93203
1400000US06037302302,60234
1400000US06037302401,72005
1400000US06037302503,48378
1400000US06037302504,43924
1400000US06037302505,70903
1400000US06037302506,76208
1400000US06037310100,169705
1400000US06037310201,101677
1400000US06037310202,104844
1400000US06037310300,137955
1400000US06037310400,110197
1400000US06037310501,73324
1400000US06037310601,85091
1400000US06037310602,94186
1400000US06037310701,25664
1400000US06037310703,74107
